transaction_id,client_id,stock_id,symbol,trade_date,trade_time,side,order_type,quantity,price,gross_value_thb,commission_thb,vat_thb,net_value_thb,channel,status,settlement_date
TXN00000489,C00468,STK0045,DCC,2025-03-03,2025-03-03 11:25:56,BUY,Market,50000,16.64,832000.0,1647.36,115.32,833762.68,Online,Filled,2025-03-05
TXN00015201,C00182,STK0030,SVI,2025-03-03,2025-03-03 11:28:17,BUY,Market,10000,53.55,535500.0,963.9,67.47,536531.37,Online,Filled,2025-03-05
TXN00010404,C00147,STK0024,PSH,2025-03-03,2025-03-03 12:01:00,SELL,Limit,6000,78.12,468720.0,1134.3,79.4,467506.3,Broker,Filled,2025-03-05
TXN00024374,C00194,STK0005,BGRIM,2025-03-03,2025-03-03 12:06:32,BUY,Limit,500000,103.95,51975000.0,51975.0,3638.25,52030613.25,Online,Filled,2025-03-05
TXN00006604,C00458,STK0046,ADVANC,2025-03-03,2025-03-03 12:07:09,SELL,Market,3000,61.8,185400.0,469.06,32.83,184898.11,Broker,Filled,2025-03-05
TXN00016695,C00328,STK0039,MINT,2025-03-03,2025-03-03 12:11:36,BUY,Stop Loss,500000,38.37,19185000.0,23022.0,1611.54,19209633.54,Phone,Filled,2025-03-05
TXN00021214,C00336,STK0016,BH,2025-03-03,2025-03-03 12:11:51,BUY,Limit,500000,38.0,19000000.0,22800.0,1596.0,19024396.0,Online,Filled,2025-03-05
TXN00018847,C00362,STK0022,AP,2025-03-03,2025-03-03 12:25:02,BUY,Market,10000,13.23,132300.0,334.72,23.43,132658.15,Mobile App,Filled,2025-03-05
TXN00008906,C00495,STK0025,ORI,2025-03-03,2025-03-03 12:28:47,SELL,Market,60000,21.73,1303800.0,0.0,0.0,0.0,Online,Cancelled,2025-03-05
TXN00012160,C00038,STK0027,SIRI,2025-03-03,2025-03-03 12:32:33,SELL,Market,500,66.68,33340.0,91.68,6.42,33241.9,Mobile App,Filled,2025-03-05
TXN00013152,C00432,STK0040,SCC,2025-03-03,2025-03-03 12:33:01,BUY,Limit,100000,17.04,1704000.0,2811.6,196.81,1707008.41,Mobile App,Filled,2025-03-05
TXN00023471,C00356,STK0019,RJH,2025-03-03,2025-03-03 12:34:26,BUY,Market,10000,42.58,425800.0,1077.27,75.41,426952.68,Broker,Filled,2025-03-05
TXN00005877,C00055,STK0033,INET,2025-03-03,2025-03-03 12:39:25,SELL,Limit,100000,21.71,2171000.0,3582.15,250.75,2167167.1,Mobile App,Filled,2025-03-05
TXN00019399,C00034,STK0034,CPALL,2025-03-03,2025-03-03 12:50:06,SELL,Market,500,78.21,39105.0,97.76,6.84,39000.4,Phone,Filled,2025-03-05
TXN00001130,C00019,STK0011,KTB,2025-03-03,2025-03-03 12:52:36,BUY,Market,10000,105.54,1055400.0,1815.29,127.07,1057342.36,Broker,Filled,2025-03-05
TXN00003911,C00233,STK0027,SIRI,2025-03-03,2025-03-03 12:55:49,BUY,Limit,15000,66.68,1000200.0,1500.3,105.02,1001805.32,Mobile App,Filled,2025-03-05
TXN00008525,C00018,STK0044,TOA,2025-03-03,2025-03-03 12:56:40,SELL,Market,3000,81.58,244740.0,619.19,43.34,244077.47,Mobile App,Filled,2025-03-05
TXN00020526,C00367,STK0034,CPALL,2025-03-03,2025-03-03 13:01:37,SELL,Limit,16000,78.21,1251360.0,1877.04,131.39,1249351.57,Online,Filled,2025-03-05
TXN00000901,C00495,STK0037,CPN,2025-03-03,2025-03-03 13:03:46,SELL,Limit,70000,40.77,2853900.0,4908.71,343.61,2848647.68,Online,Filled,2025-03-05
TXN00022037,C00194,STK0005,BGRIM,2025-03-03,2025-03-03 13:04:09,BUY,Limit,100000,103.95,10395000.0,12474.0,873.18,10408347.18,Mobile App,Filled,2025-03-05
TXN00005360,C00057,STK0020,NTV,2025-03-03,2025-03-03 13:06:23,BUY,Limit,100000,65.47,6547000.0,7856.4,549.95,6555406.35,Mobile App,Filled,2025-03-05
TXN00006164,C00339,STK0012,TMB,2025-03-03,2025-03-03 13:09:56,BUY,Limit,50000,166.35,8317500.0,10979.1,768.54,8329247.64,Online,Filled,2025-03-05
TXN00003969,C00500,STK0037,CPN,2025-03-03,2025-03-03 13:10:34,SELL,Limit,100000,40.77,4077000.0,6115.5,428.08,4070456.42,Broker,Filled,2025-03-05
TXN00014099,C00072,STK0016,BH,2025-03-03,2025-03-03 13:22:18,SELL,Market,100000,38.0,3800000.0,6536.0,457.52,3793006.48,Mobile App,Filled,2025-03-05
TXN00013303,C00057,STK0003,GPSC,2025-03-03,2025-03-03 13:23:01,BUY,Limit,10000,52.33,523300.0,941.94,65.94,524307.88,Online,Filled,2025-03-05
TXN00016788,C00311,STK0015,BDMS,2025-03-03,2025-03-03 13:27:31,SELL,Market,1000,57.18,57180.0,142.95,10.01,57027.04,Online,Filled,2025-03-05
TXN00019296,C00155,STK0036,MAKRO,2025-03-03,2025-03-03 13:41:15,BUY,Limit,10000,30.92,309200.0,782.28,54.76,310037.04,Online,Filled,2025-03-05
TXN00011382,C00364,STK0015,BDMS,2025-03-03,2025-03-03 13:42:42,BUY,Market,10000,57.18,571800.0,1132.16,79.25,573011.41,Phone,Filled,2025-03-05
TXN00006141,C00146,STK0037,CPN,2025-03-03,2025-03-03 13:47:11,SELL,Market,2000,40.77,81540.0,224.24,15.7,81300.06,Online,Filled,2025-03-05
TXN00004647,C00048,STK0021,LH,2025-03-03,2025-03-03 13:47:25,SELL,Market,2000,31.08,62160.0,178.4,12.49,61969.11,Broker,Filled,2025-03-05
TXN00020697,C00188,STK0036,MAKRO,2025-03-03,2025-03-03 13:49:50,SELL,Limit,800,30.92,24736.0,0.0,0.0,0.0,Mobile App,Cancelled,2025-03-05
TXN00010523,C00470,STK0026,SC,2025-03-03,2025-03-03 13:50:51,BUY,Limit,500000,25.86,12930000.0,15516.0,1086.12,12946602.12,Online,Filled,2025-03-05
TXN00000125,C00383,STK0039,MINT,2025-03-03,2025-03-03 13:51:23,SELL,Limit,7000,38.37,268590.0,649.99,45.5,267894.51,Phone,Filled,2025-03-05
TXN00009513,C00447,STK0030,SVI,2025-03-03,2025-03-03 13:55:02,BUY,Market,100000,53.55,5355000.0,7389.9,517.29,5362907.19,Broker,Filled,2025-03-05
TXN00010691,C00010,STK0003,GPSC,2025-03-03,2025-03-03 13:55:20,SELL,Limit,6000,52.33,313980.0,690.76,48.35,313240.89,Mobile App,Filled,2025-03-05
TXN00019471,C00057,STK0048,DTAC,2025-03-03,2025-03-03 14:04:31,BUY,Limit,10000,58.15,581500.0,1046.7,73.27,582619.97,Broker,Filled,2025-03-05
TXN00023776,C00324,STK0030,SVI,2025-03-03,2025-03-03 14:07:07,BUY,Market,100,53.55,5355.0,50.0,3.5,5408.5,Online,Filled,2025-03-05
TXN00024147,C00355,STK0015,BDMS,2025-03-03,2025-03-03 14:15:22,SELL,Limit,500000,57.18,28590000.0,0.0,0.0,0.0,Online,Cancelled,2025-03-05
TXN00011323,C00496,STK0043,PTTGC,2025-03-03,2025-03-03 14:27:20,BUY,Market,10000,72.38,723800.0,1433.12,100.32,725333.44,Online,Filled,2025-03-05
TXN00011695,C00309,STK0019,RJH,2025-03-03,2025-03-03 14:50:35,SELL,Limit,500,42.58,21290.0,53.22,3.73,21233.05,Mobile App,Filled,2025-03-05
TXN00016317,C00088,STK0021,LH,2025-03-03,2025-03-03 14:54:21,BUY,Market,100000,31.08,3108000.0,5345.76,374.2,3113719.96,Online,Filled,2025-03-05
TXN00020827,C00391,STK0032,HUMAN,2025-03-03,2025-03-03 14:58:11,BUY,Limit,200,66.47,13294.0,50.0,3.5,13347.5,Phone,Filled,2025-03-05
TXN00000051,C00364,STK0012,TMB,2025-03-03,2025-03-03 14:59:52,SELL,Stop Loss,20000,166.35,3327000.0,5489.55,384.27,3321126.18,Online,Filled,2025-03-05
TXN00012251,C00284,STK0029,HANA,2025-03-03,2025-03-03 15:05:35,BUY,Limit,30000,26.63,798900.0,1438.02,100.66,800438.68,Online,Filled,2025-03-05
TXN00001965,C00033,STK0017,BCH,2025-03-03,2025-03-03 15:15:58,BUY,Market,100000,73.3,7330000.0,9675.6,677.29,7340352.89,Broker,Filled,2025-03-05
TXN00008679,C00021,STK0035,BJC,2025-03-03,2025-03-03 15:18:16,BUY,Limit,20000,15.92,318400.0,770.53,53.94,319224.47,Online,Filled,2025-03-05
TXN00004403,C00443,STK0009,SCB,2025-03-03,2025-03-03 15:21:06,SELL,Limit,4000,205.7,822800.0,1481.04,103.67,821215.29,Online,Filled,2025-03-05
TXN00019927,C00045,STK0026,SC,2025-03-03,2025-03-03 15:22:17,BUY,Limit,500000,25.86,12930000.0,0.0,0.0,0.0,Online,Cancelled,2025-03-05
TXN00023120,C00322,STK0013,BAY,2025-03-03,2025-03-03 15:32:56,BUY,Limit,47936,54.77,2625454.72,3465.6,242.59,2629162.91,Mobile App,Partial,2025-03-05
TXN00009301,C00066,STK0044,TOA,2025-03-03,2025-03-03 15:33:21,SELL,Limit,4000,81.58,326320.0,825.59,57.79,325436.62,Mobile App,Filled,2025-03-05
TXN00009891,C00448,STK0004,GULF,2025-03-03,2025-03-03 15:34:11,BUY,Market,10000,112.68,1126800.0,1938.1,135.67,1128873.77,Online,Filled,2025-03-05
TXN00020816,C00488,STK0033,INET,2025-03-03,2025-03-03 15:36:59,SELL,Limit,100,21.71,2171.0,50.0,3.5,2117.5,Mobile App,Filled,2025-03-05
TXN00014977,C00036,STK0018,CHG,2025-03-03,2025-03-03 15:40:50,BUY,Limit,10000,71.59,715900.0,1481.91,103.73,717485.64,Online,Filled,2025-03-05
TXN00005186,C00475,STK0030,SVI,2025-03-03,2025-03-03 15:42:48,SELL,Stop Loss,8000,53.55,428400.0,942.48,65.97,427391.55,Mobile App,Filled,2025-03-05
TXN00004217,C00247,STK0023,SPALI,2025-03-03,2025-03-03 15:42:56,SELL,Limit,800,10.58,8464.0,50.0,3.5,8410.5,Online,Filled,2025-03-05
TXN00009598,C00328,STK0036,MAKRO,2025-03-03,2025-03-03 15:43:18,BUY,Market,500000,30.92,15460000.0,18552.0,1298.64,15479850.64,Mobile App,Filled,2025-03-05
TXN00005669,C00100,STK0050,THCOM,2025-03-03,2025-03-03 15:45:03,BUY,Limit,2000,43.26,86520.0,237.93,16.66,86774.59,Mobile App,Filled,2025-03-05
TXN00022826,C00298,STK0036,MAKRO,2025-03-03,2025-03-03 16:01:30,SELL,Limit,100000,30.92,3092000.0,4638.0,324.66,3087037.34,Broker,Filled,2025-03-05
TXN00017014,C00336,STK0013,BAY,2025-03-03,2025-03-03 16:02:37,BUY,Market,500000,54.77,27385000.0,27385.0,1916.95,27414301.95,Online,Filled,2025-03-05
TXN00021168,C00322,STK0013,BAY,2025-03-03,2025-03-03 16:02:47,SELL,Limit,100000,54.77,5477000.0,7229.64,506.07,5469264.29,Online,Filled,2025-03-05
TXN00011619,C00337,STK0036,MAKRO,2025-03-03,2025-03-03 16:08:23,BUY,Limit,100000,30.92,3092000.0,5101.8,357.13,3097458.93,Online,Filled,2025-03-05
TXN00016965,C00149,STK0018,CHG,2025-03-03,2025-03-03 16:11:34,SELL,Limit,2000,71.59,143180.0,362.25,25.36,142792.39,Mobile App,Filled,2025-03-05
TXN00016194,C00218,STK0016,BH,2025-03-03,2025-03-03 16:12:37,BUY,Stop Loss,500,38.0,19000.0,52.25,3.66,19055.91,Online,Filled,2025-03-05
TXN00004268,C00436,STK0011,KTB,2025-03-03,2025-03-03 16:14:19,SELL,Market,500,105.54,52770.0,145.12,10.16,52614.72,Mobile App,Filled,2025-03-05
TXN00016477,C00376,STK0020,NTV,2025-03-03,2025-03-03 16:15:21,BUY,Market,40374,65.47,2643285.78,3489.14,244.24,2647019.16,Online,Partial,2025-03-05
TXN00006198,C00336,STK0050,THCOM,2025-03-03,2025-03-03 16:16:04,BUY,Market,500000,43.26,21630000.0,21630.0,1514.1,21653144.1,Mobile App,Filled,2025-03-05
TXN00004554,C00342,STK0045,DCC,2025-03-03,2025-03-03 16:16:44,SELL,Market,5000,16.64,83200.0,208.0,14.56,82977.44,Online,Filled,2025-03-05
TXN00014810,C00033,STK0005,BGRIM,2025-03-03,2025-03-03 16:17:29,SELL,Limit,100000,103.95,10395000.0,13721.4,960.5,10380318.1,Mobile App,Filled,2025-03-05
TXN00010943,C00435,STK0031,FORTH,2025-03-03,2025-03-03 16:22:12,BUY,Stop Loss,800,55.43,44344.0,110.86,7.76,44462.62,Mobile App,Filled,2025-03-05
TXN00012924,C00015,STK0017,BCH,2025-03-03,2025-03-03 16:25:06,SELL,Limit,100000,73.3,7330000.0,0.0,0.0,0.0,Online,Cancelled,2025-03-05
TXN00017106,C00337,STK0035,BJC,2025-03-03,2025-03-03 16:29:33,SELL,Market,100000,15.92,1592000.0,2626.8,183.88,1589189.32,Online,Filled,2025-03-05
TXN00023980,C00468,STK0041,SCGP,2025-03-03,2025-03-03 16:44:44,BUY,Market,100000,13.16,1316000.0,2171.4,152.0,1318323.4,Online,Filled,2025-03-05
TXN00006756,C00363,STK0025,ORI,2025-03-03,2025-03-03 16:45:42,SELL,Market,500000,21.73,10865000.0,13038.0,912.66,10851049.34,Broker,Filled,2025-03-05
TXN00000155,C00351,STK0050,THCOM,2025-03-03,2025-03-03 16:52:11,SELL,Market,50000,43.26,2163000.0,3720.36,260.43,2159019.21,Online,Filled,2025-03-05
TXN00020095,C00363,STK0024,PSH,2025-03-04,2025-03-04 10:01:05,BUY,Limit,10000,83.18,831800.0,1497.24,104.81,833402.05,Online,Filled,2025-03-06
TXN00013355,C00134,STK0034,CPALL,2025-03-04,2025-03-04 10:08:34,SELL,Limit,100000,76.62,7662000.0,0.0,0.0,0.0,Mobile App,Cancelled,2025-03-06
TXN00007863,C00194,STK0009,SCB,2025-03-04,2025-03-04 10:12:28,BUY,Limit,100000,213.95,21395000.0,21395.0,1497.65,21417892.65,Broker,Filled,2025-03-06
TXN00011266,C00225,STK0001,PTT,2025-03-04,2025-03-04 10:14:11,SELL,Market,1000,152.26,152260.0,385.22,26.97,151847.81,Online,Filled,2025-03-06
TXN00016889,C00494,STK0013,BAY,2025-03-04,2025-03-04 10:15:08,SELL,Market,10000,55.02,550200.0,990.36,69.33,549140.31,Mobile App,Filled,2025-03-06
TXN00020061,C00045,STK0047,TRUE,2025-03-04,2025-03-04 10:23:09,BUY,Limit,10000,49.19,491900.0,1190.4,83.33,493173.73,Online,Filled,2025-03-06
TXN00004488,C00244,STK0048,DTAC,2025-03-04,2025-03-04 10:24:33,SELL,Market,100000,57.5,5750000.0,6900.0,483.0,5742617.0,Online,Filled,2025-03-06
TXN00018022,C00483,STK0046,ADVANC,2025-03-04,2025-03-04 10:25:11,SELL,Limit,200,62.02,12404.0,50.0,3.5,12350.5,Online,Filled,2025-03-06
TXN00018214,C00129,STK0045,DCC,2025-03-04,2025-03-04 10:27:35,SELL,Stop Loss,10000,17.07,170700.0,431.87,30.23,170237.9,Mobile App,Filled,2025-03-06
TXN00013834,C00167,STK0016,BH,2025-03-04,2025-03-04 10:29:16,BUY,Market,100000,38.1,3810000.0,6553.2,458.72,3817011.92,Mobile App,Filled,2025-03-06
TXN00021942,C00292,STK0021,LH,2025-03-04,2025-03-04 10:30:12,SELL,Market,50000,30.77,1538500.0,2646.22,185.24,1535668.54,Online,Filled,2025-03-06
TXN00016971,C00021,STK0001,PTT,2025-03-04,2025-03-04 10:31:16,BUY,Market,20000,152.26,3045200.0,5024.58,351.72,3050576.3,Mobile App,Filled,2025-03-06
TXN00017144,C00376,STK0012,TMB,2025-03-04,2025-03-04 10:38:56,SELL,Limit,10000,168.5,1685000.0,2780.25,194.62,1682025.13,Broker,Filled,2025-03-06
TXN00024394,C00185,STK0016,BH,2025-03-04,2025-03-04 10:39:42,BUY,Market,100000,38.1,3810000.0,6553.2,458.72,3817011.92,Mobile App,Filled,2025-03-06
TXN00020774,C00443,STK0002,PTTEP,2025-03-04,2025-03-04 10:57:16,BUY,Market,100,91.46,9146.0,50.0,3.5,9199.5,Online,Filled,2025-03-06
TXN00004949,C00316,STK0033,INET,2025-03-04,2025-03-04 10:57:25,BUY,Market,50000,21.25,1062500.0,1827.5,127.93,1064455.43,Online,Filled,2025-03-06
TXN00011570,C00319,STK0047,TRUE,2025-03-04,2025-03-04 11:05:51,SELL,Limit,202920,49.19,9981634.8,10979.8,768.59,9969886.41,Online,Partial,2025-03-06
TXN00007655,C00317,STK0017,BCH,2025-03-04,2025-03-04 11:05:55,SELL,Market,1000000,73.18,731800.0,1514.83,106.04,730179.13,Mobile App,Filled,2025-03-06
TXN00000259,C00259,STK0046,ADVANC,2025-03-04,2025-03-04 11:12:04,SELL,Market,100000,62.02,6202000.0,8186.64,573.06,6193240.3,Mobile App,Filled,2025-03-06
TXN00020792,C00388,STK0001,PTT,2025-03-04,2025-03-04 11:16:01,BUY,Limit,500,152.26,76130.0,218.49,15.29,76363.78,Online,Filled,2025-03-06
TXN00001013,C00062,STK0009,SCB,2025-03-04,2025-03-04 11:23:56,BUY,Market,50000,213.95,10697500.0,12837.0,898.59,10711235.59,Mobile App,Filled,2025-03-06
TXN00014918,C00407,STK0003,GPSC,2025-03-04,2025-03-04 11:33:17,SELL,Limit,2000,51.59,103180.0,249.7,17.48,102912.82,Broker,Filled,2025-03-06
TXN00016156,C00076,STK0029,HANA,2025-03-04,2025-03-04 11:33:29,SELL,Limit,100000,26.05,2605000.0,4480.6,313.64,2600205.76,Online,Filled,2025-03-06
TXN00022300,C00155,STK0040,SCC,2025-03-04,2025-03-04 11:35:43,SELL,Market,5000,17.39,86950.0,249.55,17.47,86682.98,Online,Filled,2025-03-06
TXN00021265,C00080,STK0027,SIRI,2025-03-04,2025-03-04 11:39:29,BUY,Market,100000,67.78,6778000.0,9353.64,654.75,6788008.39,Online,Filled,2025-03-06
TXN00011109,C00432,STK0006,RATCH,2025-03-04,2025-03-04 11:41:01,SELL,Limit,10000,196.33,1963300.0,3239.44,226.76,1959833.8,Mobile App,Filled,2025-03-06
TXN00010202,C00116,STK0002,PTTEP,2025-03-04,2025-03-04 11:42:35,SELL,Limit,500000,91.46,45730000.0,52589.5,3681.27,45673729.23,Online,Filled,2025-03-06
TXN00006780,C00244,STK0048,DTAC,2025-03-04,2025-03-04 11:44:52,SELL,Limit,10000,57.5,575000.0,1035.0,72.45,573892.55,Online,Filled,2025-03-06
TXN00016763,C00066,STK0032,HUMAN,2025-03-04,2025-03-04 11:47:55,BUY,Limit,15000,65.53,982950.0,2034.71,142.43,985127.14,Mobile App,Filled,2025-03-06
TXN00001081,C00341,STK0044,TOA,2025-03-04,2025-03-04 11:51:09,SELL,Limit,50000,87.84,4392000.0,7554.24,528.8,4383916.96,Mobile App,Filled,2025-03-06
TXN00002820,C00348,STK0031,FORTH,2025-03-04,2025-03-04 11:51:30,BUY,Market,50000,56.25,2812500.0,4218.75,295.31,2817014.06,Online,Filled,2025-03-06
TXN00013176,C00297,STK0020,NTV,2025-03-04,2025-03-04 11:57:52,BUY,Market,100000,64.97,6497000.0,8965.86,627.61,6506593.47,Mobile App,Filled,2025-03-06
TXN00015044,C00327,STK0036,MAKRO,2025-03-04,2025-03-04 11:58:55,SELL,Limit,500000,31.14,15570000.0,21486.6,1504.06,15547009.34,Mobile App,Filled,2025-03-06
TXN00020905,C00167,STK0011,KTB,2025-03-04,2025-03-04 12:03:26,SELL,Market,50000,100.79,5039500.0,6954.51,486.82,5032058.67,Online,Filled,2025-03-06
TXN00019536,C00390,STK0019,RJH,2025-03-04,2025-03-04 12:06:14,BUY,Limit,7000,42.6,298200.0,754.45,52.81,299007.26,Mobile App,Filled,2025-03-06
TXN00018260,C00185,STK0002,PTTEP,2025-03-04,2025-03-04 12:15:00,BUY,Limit,10000,91.46,914600.0,1893.22,132.53,916625.75,Online,Filled,2025-03-06
TXN00017512,C00470,STK0010,BBL,2025-03-04,2025-03-04 12:29:23,BUY,Limit,50000,109.15,5457500.0,6549.0,458.43,5464507.43,Phone,Filled,2025-03-06
TXN00005327,C00224,STK0041,SCGP,2025-03-04,2025-03-04 12:33:22,SELL,Limit,564,13.18,7433.52,50.0,3.5,7380.02,Online,Partial,2025-03-06
TXN00015241,C00338,STK0048,DTAC,2025-03-04,2025-03-04 12:39:25,SELL,Market,50000,57.5,2875000.0,0.0,0.0,0.0,Mobile App,Cancelled,2025-03-06
TXN00014826,C00405,STK0039,MINT,2025-03-04,2025-03-04 12:44:48,SELL,Market,500000,38.88,19440000.0,23328.0,1632.96,19415039.04,Online,Filled,2025-03-06
TXN00007492,C00271,STK0029,HANA,2025-03-04,2025-03-04 12:47:04,SELL,Market,400,26.05,10420.0,50.0,3.5,10366.5,Mobile App,Filled,2025-03-06
TXN00015468,C00341,STK0011,KTB,2025-03-04,2025-03-04 12:47:46,BUY,Market,10000,100.79,1007900.0,1733.59,121.35,1009754.94,Mobile App,Filled,2025-03-06
TXN00005873,C00322,STK0038,CENTEL,2025-03-04,2025-03-04 12:50:17,SELL,Limit,500000,55.13,27565000.0,30321.5,2122.5,27532556.0,Online,Filled,2025-03-06
TXN00018667,C00452,STK0017,BCH,2025-03-04,2025-03-04 12:51:38,BUY,Limit,10000,73.18,731800.0,1514.83,106.04,733420.87,Online,Filled,2025-03-06
TXN00023236,C00010,STK0036,MAKRO,2025-03-04,2025-03-04 12:54:04,SELL,Market,25000,31.14,778500.0,1401.3,98.09,777000.61,Mobile App,Filled,2025-03-06
TXN00002604,C00190,STK0025,ORI,2025-03-04,2025-03-04 13:02:08,BUY,Market,1000,21.68,21680.0,54.2,3.79,21737.99,Mobile App,Filled,2025-03-06
TXN00001225,C00447,STK0024,PSH,2025-03-04,2025-03-04 13:05:25,SELL,Limit,50000,83.18,4159000.0,7153.48,500.74,4151345.78,Mobile App,Filled,2025-03-06
TXN00004213,C00264,STK0025,ORI,2025-03-04,2025-03-04 13:14:04,SELL,Limit,5000,21.68,108400.0,274.25,19.2,108106.55,Online,Filled,2025-03-06
TXN00009998,C00494,STK0047,TRUE,2025-03-04,2025-03-04 13:30:23,BUY,Limit,6000,49.19,295140.0,649.31,45.45,295834.76,Broker,Filled,2025-03-06
TXN00013274,C00048,STK0011,KTB,2025-03-04,2025-03-04 13:36:52,SELL,Limit,6000,100.79,604740.0,1251.81,87.63,603400.56,Online,Filled,2025-03-06
TXN00015456,C00038,STK0041,SCGP,2025-03-04,2025-03-04 13:44:10,SELL,Market,4000,13.18,52720.0,144.98,10.15,52564.87,Phone,Filled,2025-03-06
TXN00014399,C00304,STK0042,IVL,2025-03-04,2025-03-04 13:46:37,BUY,Market,400,51.23,20492.0,58.81,4.12,20554.93,Online,Filled,2025-03-06
TXN00003068,C00297,STK0049,JAS,2025-03-04,2025-03-04 13:48:25,SELL,Market,500000,61.43,30715000.0,35322.25,2472.56,30677205.19,Online,Filled,2025-03-06
TXN00012891,C00341,STK0045,DCC,2025-03-04,2025-03-04 13:51:51,BUY,Limit,50000,17.07,853500.0,1766.74,123.67,855390.41,Mobile App,Filled,2025-03-06
TXN00000442,C00319,STK0044,TOA,2025-03-04,2025-03-04 13:57:44,BUY,Limit,100000,87.84,8784000.0,11594.88,811.64,8796406.52,Online,Filled,2025-03-06
TXN00005171,C00085,STK0024,PSH,2025-03-04,2025-03-04 14:01:16,BUY,Market,500000,83.18,41590000.0,41590.0,2911.3,41634501.3,Online,Filled,2025-03-06
TXN00007633,C00057,STK0021,LH,2025-03-04,2025-03-04 14:02:26,BUY,Market,10000,30.77,307700.0,676.94,47.39,308424.33,Online,Filled,2025-03-06
TXN00012185,C00342,STK0030,SVI,2025-03-04,2025-03-04 14:04:47,BUY,Limit,6000,53.02,318120.0,699.86,48.99,318868.85,Online,Filled,2025-03-06
TXN00023908,C00336,STK0004,GULF,2025-03-04,2025-03-04 14:08:33,BUY,Market,100000,111.15,11115000.0,13338.0,933.66,11129271.66,Mobile App,Filled,2025-03-06
TXN00023280,C00401,STK0050,THCOM,2025-03-04,2025-03-04 14:25:27,BUY,Limit,10000,44.16,441600.0,1117.25,78.21,442795.46,Online,Filled,2025-03-06
TXN00021815,C00448,STK0004,GULF,2025-03-04,2025-03-04 14:26:24,SELL,Market,100000,111.15,11115000.0,15338.7,1073.71,11098587.59,Online,Filled,2025-03-06
TXN00008860,C00348,STK0017,BCH,2025-03-04,2025-03-04 14:27:15,BUY,Limit,10000,73.18,731800.0,1317.24,92.21,733209.45,Broker,Filled,2025-03-06
TXN00020302,C00338,STK0009,SCB,2025-03-04,2025-03-04 14:30:59,BUY,Limit,50000,213.95,10697500.0,12837.0,898.59,10711235.59,Mobile App,Filled,2025-03-06
TXN00010921,C00242,STK0003,GPSC,2025-03-04,2025-03-04 14:35:00,BUY,Market,16000,51.59,825440.0,1708.66,119.61,827268.27,Mobile App,Filled,2025-03-06
